id,ジャンル,問題文,ア,イ,ウ,エ,正解,解説,
202512,ストラテジ,商標法におけるサービスマークを説明したものはどれか。,"企業が,企業そのものを他社と区別するために表示する商標である。","製造業者,販売業者が提供する商品を,他社の商品と区別するために表示する商標である。","大規模小売業者が開発したプライベートブランドの商品を,他社の商品と区別するために表示する商標である。","輸送業者,金融業者などが提供する役務を,他社の役務と区別するために表示する商標である。",エ,"サービスマークは,商品ではなく,輸送業・金融業などが提供する役務（サービス）を他社と区別するための商標である。",
202513,ストラテジ,"新しいITソリューションの活用の是非を判断するために,そのITソリューションの提供者に,活用事例や技術情報などの提供を依頼する文書として,最も適切なものはどれか。",EDI,KPI,RFI,RFP,ウ,"RFI（Request For Information）は,新しいITソリューションの導入可否を判断するために,提供者へ事例や技術情報の提供を依頼する文書である。",
202514,ストラテジ,"事業,経営情報に知財情報を組み込んで分析し,現状の俯瞰や将来展望などの分析結果を事業責任者,経営者と共有し,事業戦略又は経営戦略に反映させることを表す用語として,最も適切なものはどれか。",CVC(Corporate Venture Capital),IPランドスケープ(Intellectual Property Landscape),MOT(Management of Technology),SWOT 分析,イ,"IPランドスケープは,事業・経営情報に特許などの知財情報を組み込んで分析し,その結果を経営層と共有して事業戦略・経営戦略に反映させる考え方・手法である。",
202515,ストラテジ,"事業運営における意思決定の迅速化,組織の独立採算の推進を目的とし,一つの企業の中に事業領域ごとに独立した組織を設置する組織形態はどれか。",カンパニー制組織,機能別組織,プロジェクト組織,マトリックス組織,ア,"カンパニー制組織は,企業内を事業領域ごとに分けて独立採算・迅速な意思決定を行えるようにした組織形態である。",
202516,ストラテジ,"他人の電子メールの利用者IDとパスワードの取扱いに関する記述のうち,不正アクセス禁止法で規制されている行為だけを全て挙げたものはどれか。
a 正当な理由なく本人に無断で第三者に提供する。
b 他人の電子メールの利用者IDとパスワードを無効にするマルウェアを作成する。
c 本人に無断で使用して,メールサーバ上の電子メールを閲覧する。","a,b,c","a,c","b,c",c,イ,"不正アクセス禁止法では,他人のID・パスワードを不正に利用・流通させる行為が規制対象となる。",
202517,ストラテジ,"プロセスマイニングに関する記述として,最も適切なものはどれか。","一連の業務で実際に遂行したシステムの操作ログなどを収集し,現行の業務プロセスの可視化,分析,モニタリングによって業務の課題を特定して改善を図る手法やツールである。","業務プロセスをそれまでの習慣などにとらわれず,抜本的に再構築して業務効率の改善を図る手法である。","コンタクトセンターへの問合せ内容やSNSの投稿内容の分析などの業務プロセスで用いられる,膨大な文章データから必要な情報を抽出して分析する手法である。","大量の計算処理で正しい値を算出する一連のプロセスを通じて,暗号資産を取得する手段である。",ア,"プロセスマイニングは,システムの操作ログなどの実データを基に実際の業務プロセスを可視化・分析・監視し,課題を発見して改善につなげる手法である。",
202518,ストラテジ,"ITにおけるアクセシビリティに関する記述として,最も適切なものはどれか。","高齢者や障害者などを含め,様々な能力や特性をもつ幅広い層の人が等しく利用できるように配慮したソフトウェア製品の設計","顧客データを基に顧客を識別し,コールセンターやインターネットなどの様々なチャネルを用いて顧客との関係を深める手法","製品,システム,サービスなどにおいて,それらを使用する場面をイメージしたり実際に利用したりすることで得られる人の感じ方や反応","特定のファイルやデータベースなどの情報資産に対し,参照や更新などの権限の認可や制限を確実にする手段",ア,"アクセシビリティとは,高齢者や障害者を含む多様な利用者が支障なくITを利用できるよう配慮する考え方である。",
202519,ストラテジ,"仮想環境を用いた技術であるAR又はVRの活用事例のうち,VRの活用事例として,最も適切なものはどれか。","顔を覆うように頭部にゴーグルを装着し,そのゴーグル内に投影された仮想空間に広がる火災や地震の映像を見ながら避難方法をイメージすることによって,防災訓練が行える。","家具をオンラインで購入するときに,スマートフォンのカメラを通して画面に映っている現実の自分の部屋に,購入したい家具をリアルタイムに重ねて試し置きできる。","史跡などにスマートフォンを向けることによって,昔あった建物の画像や説明情報が現実の風景と重なって画面に表示される。","図鑑にスマートフォンをかざすことによって,図鑑の絵や写真に重なって生物の動画が見られる。",ア,"VR（仮想現実）は,ゴーグルなどを用いて利用者が仮想空間の中に没入する体験を提供する技術である。",
202520,ストラテジ,"ソフトウェアライフサイクルを企画プロセス,要件定義プロセス,開発プロセス,保守プロセスに分けたとき,企画プロセスのシステム化構想の立案時にベンダー企業から収集する情報として,最も適切なものはどれか。",システム化計画に基づいた開発コストの見積り,システム化する業務の分野に関する情報技術動向,システム構築を進めるに当たっての発注元企業の役割,ベンダー企業の技術者が保有している技術資格,イ,"企画プロセスのシステム化構想立案では,具体的な見積りや体制ではなく,業務分野におけるITの活用可能性や技術動向を把握することが重要である。",
202521,ストラテジ,"基本的な機能やサービスは無償で提供し,追加の機能やサービスを有償で提供することで利益を上げるビジネスモデルを表す用語として,最も適切なものはどれか。",フリーウェア,フリーミアム,フリーライド,フリーランス,イ,"フリーミアムは,基本機能を無料で提供し,高度な機能や追加サービスを有料で提供して収益を得るビジネスモデルである。",
202522,ストラテジ,"営業部のAさんは,営業担当者10人の営業成績が一目で分かるように,各営業担当者が提出する営業見込みと実績を毎月集約してグラフ化したいと考えている。この問題を解決するために適用する技術やツールとして,最も適切なものはどれか。","データを学習し,分析するAI","データを自動収集し,データベースに蓄積するIoT","入力したデータを,加工して見せるオフィスツール","ビッグデータを,様々な手法で分析するデータサイエンス",ウ,"営業見込みや実績を集約してグラフ化し,分かりやすく可視化するのが目的であり,学習や高度分析は不要である。そのため,入力データを加工・集計して表示できる表計算ソフトなどのオフィスツールが最も適切である。",
202523,ストラテジ,"コーポレートガバナンスの強化に有効な施策だけを全て挙げたものはどれか。
a 株式公開買付けによる企業の買収
b 執行役員制度の導入による経営と執行の分離
c 独立性の高い社外取締役の選任","a,b","a,b,c","b,c",c,ウ,"コーポレートガバナンス強化には,経営の監督機能を高める施策が有効である。",
202524,ストラテジ,"RPAに関する記述として,最も適切なものはどれか。","企業の一部の業務を外部の組織に委託することによって,自社のリソースを重要な領域に集中したり,コストの最適化や業務の高効率化などを実現したりする。","組立てや搬送などにハードウェアのロボットを用いることによって,工場の生産活動の自動化を実現する。","システムの利用者が,主体的にシステム管理や運用を行うことによって利用者のITリテラシーの向上や,システムベンダーへの依存の軽減などを実現する。","ホワイトカラーの定型的な事務作業を,ソフトウェアのロボットに代替させることによって,自動化や効率化を図る。",エ,"RPA（Robotic Process Automation）は,定型的な事務作業をソフトウェアロボットにより自動化・効率化する技術である。",
202525,ストラテジ,"ブロックチェーンを適用した事例として,最も適切なものはどれか。","証券会社が,取引の改ざんや不整合の発生を防止することを目的として,従来の社債に代わり電子的手段を用いたデジタル社債を発行した。","商品先物取引所を運営する認可法人が,取引量を拡大することを目的として,現在およそ1秒以上要している注文受付の応答時間を,1秒未満に改善した。","ビジネス路線を中心に運航する航空会社が,顧客の利便性向上と競合他社に対する競争力強化を目的として,出発1時間前まで何回でも予約の変更を可能とする新しいサービスを開始した。","服飾雑貨製造会社が,自社の商品企画に活用することを目的として,過去の全ての自社商品に関する大量の画像及び社内会議の音声データをデータベースに保存し,従業員がいつでも検索できるようにした。",ア,"ブロックチェーンは,取引履歴を分散管理し,改ざん防止や整合性の確保に強みをもつ技術である。",
202527,ストラテジ,"業務と情報システムを最適にすることを目的として,業務と情報システムの現状の把握と目標とする理想像の設定から現状と理想との乖離を明確にし,目標に向けた改善活動を移行計画として定義したい。このときに用いられる手法として,最も適切なものはどれか。",BI(Business Intelligence),EA(Enterprise Architecture),MOT(Management of Technology),SOA(Service Oriented Architecture),イ,"EA（Enterprise Architecture）は,業務と情報システムの現状（As-Is）と理想像（To-Be）を整理・可視化し,その乖離を明確にして移行計画を策定する手法である。",
202528,ストラテジ,"生成AIに関する記述として,最も適切なものはどれか。","一切の学習を必要とせずに,新しいコンテンツを生成する。","過去のデータから項目間の相関などを学習したモデルを用いて,現在のデータから将来の値を予測して出力する。",作成したシナリオに基づいて動作するソフトウェアロボットによって業務を自動化する。,"自然言語で指示された内容に従って,事前に学習したデータを基に,新しいコンテンツを生成する。",エ,"生成AIは,事前に学習した大量のデータを基に,自然言語などの指示に従って文章・画像などの新しいコンテンツを生成する技術である。",
202529,ストラテジ,"企業経営の中核となる考え方を,ミッション,ビジョン,バリューの三つに分けて示す場合,ビジョンとして示すものとして,最も適切なものはどれか。",企業の存在意義や使命,"企業の存在意義や使命をふまえた,ある時点でのありたい姿",戦略を実現するために重要となる業績管理指標,戦略を実現するために重要となる成功要因,イ,"ビジョンは,ミッション（存在意義・使命）を踏まえて,将来のある時点で企業が目指すありたい姿を示すものである。",
202530,ストラテジ,"著作権に関して,次の記述中のa,bに入れる字句の適切な組合せはどれか。
aは著作権法による保護の対象になるが,bは対象にならない。",a アルゴリズム　b 操作マニュアル,a アルゴリズム　b 通信プロトコル,a ソースプログラム　b 操作マニュアル,a ソースプログラム　b 通信プロトコル,エ,"著作権法では,思想や感情を表現した創作物が保護対象となる。
ソースプログラムは具体的な表現であるため著作物として保護されるが,通信プロトコルは規約・手順といったアイデアやルールに当たり,保護対象外である。",
202531,ストラテジ,"ERPシステムの説明として,適切なものはどれか。","企業内の個人がもつ営業に関する知識やノウハウを収集し,共有することによって,効率的,効果的な営業活動を支援するシステム","経理や人事,生産,販売などの基幹業務と関連する情報を一元管理し,経営資源を最適配分することによって,効率的な経営の実現を支援するシステム","原材料の調達から生産,販売に関する情報を,企業間で共有・管理することによって,ビジネスプロセスの全体最適を目指すシステム","個々の顧客に関する情報や対応履歴などを管理することによって,きめ細かい顧客対応を実施し,顧客満足度の向上を支援するシステム",イ,"ERP（Enterprise Resource Planning）は,経理・人事・生産・販売などの基幹業務データを統合管理し,経営資源を最適に配分して経営効率を高めるシステムである。",
202532,ストラテジ,"公共交通機関での移動履歴,Webサイトでの商品検索履歴,SNSやブログで発信したデータなど,個人の活動を記録する技術,又は記録そのものを表す用語として,最も適切なものはどれか。",アクティビティ,トランザクション,ライフログ,レコードキーピング,ウ,"ライフログは,移動履歴,Web検索履歴,SNS投稿など,個人の活動を継続的に記録したデータやその技術を指す。",
202533,ストラテジ,"自動運転の水準は,一般的に“レベル1”から“レベル5”に分けられている。“条件付運転自動化”と呼ばれる“レベル3”が示す自動運転の水準に関する記述として,最も適切なものはどれか。","運転の主体はシステムであり,人間が運転する必要はないが,システムによる自動運転の継続が難しい場合は,人間が運転しなければならない。","運転の主体はシステムであり,人間が運転する必要はないので,ハンドルやペダルなどの運転装置は不要だが,自動運転できる地域は限られる。","運転の主体は人間であり,高速道路で車線を維持しながら前の自動車に付いて走る機能のように,ハンドルと加減速の操作をシステムが支援する。","運転の主体は人間であり,自動ブレーキや急発進防止システムのように,前方又は後方の状況によって,システムが運転の一部を支援する。",ア,"レベル3（条件付運転自動化）では,通常時の運転主体はシステムであり,人間は常時監視する必要はないが,システムが対応できなくなった場合には人間が引き継いで運転する必要がある。",
202534,ストラテジ,"ある商品を5,000個販売したところ,売上げが6,000万円,利益が400万円となった。商品1個当たりの変動費が7,000円であるとき,利益を1,000万円以上にするためには,少なくともあと何個販売すればよいか。",500,"1,200","6,200","7,500",イ,"まず,1個当たりの販売価格を求める。
6,000万円 ÷ 5,000個 ＝ 12,000円／個

限界利益（1個当たり）
12,000円 − 7,000円 ＝ 5,000円

現在の利益は400万円なので,
目標の1,000万円までに必要な追加利益は
1,000万円 − 400万円 ＝ 600万円

必要な追加販売数量
600万円 ÷ 5,000円 ＝ 1,200個",
202535,ストラテジ,"マーケティング戦略の策定プロセスのうち,自社製品の差別化ポイントを明確化するものはどれか。",セグメンテーション,ターゲティング,プロモーション,ポジショニング,エ,"ポジショニングは,競合製品と比較して自社製品の差別化ポイントや市場での位置付けを明確にするプロセスである。",
202536,マネジメント,"合意したサービス提供時間帯のうち,実際に顧客がITサービスを利用できた時間の割合で表されるものはどれか。",可用性,機能性,効率性,使用性,ア,"合意したサービス提供時間に対して,実際にサービスが利用可能だった時間の割合を表す指標は可用性（Availability）である。",
202537,マネジメント,"ITサービスマネジメントに関して,次の記述中のa,bに入れる字句の適切な組合せはどれか。
aはサービス提供者と顧客との間で合意されたサービス品質に関する合意書である。aの遵守状況を確認し,ITサービスの品質を維持・改善させるための活動がbである。",a NDA　b SCM,a NDA　b SLM,a SLA　b SCM,a SLA　b SLM,エ,"SLA（Service Level Agreement）は,サービス提供者と顧客との間で合意したサービス品質に関する取り決めである。
その遵守状況を確認し,品質を維持・改善する活動はSLM（Service Level Management）である。",
202538,マネジメント,"情報セキュリティ監査の説明として,最も適切なものはどれか。","一定の基準に基づいてITシステムの利活用に係る検証・評価を行い,ガバナンスの適切性などに対する保証や改善のための助言を行うもの","コンピュータの盗難や不正な持出しを物理的に防止し,情報セキュリティを確保するためのツール","組織体の価値及び組織体への信頼を向上させるために,組織体におけるITシステムの利活用のあるべき姿を示すIT戦略と方針の策定及びその実現のための活動",組織の情報資産に関わるリスクマネジメントが効果的に実施されているかどうかの検証又は評価,エ,"情報セキュリティ監査は,組織の情報資産に関するリスクマネジメントやセキュリティ対策が適切・効果的に実施されているかを,客観的に検証・評価する活動である。",
202539,マネジメント,"ソフトウェア開発モデルであるアジャイルモデルの特徴に関して,次の記述中のa,bに入れる字句の適切な組合せはどれか。
アジャイルモデルとは,要件を確定してから開発を実施するウォーターフォールモデルのaする形で提唱された,bできるようにソフトウェアを開発するための手法の総称である。",a 課題を改善　b 開発工程で生じる種々の変更に迅速に対応,a 課題を改善　b 開発工程を順に実施,a 特徴を継承　b 開発工程で生じる種々の変更に迅速に対応,a 特徴を継承　b 開発工程を順に実施,ア,"アジャイルモデルは,要件を最初に固定するウォーターフォールモデルの課題を改善する形で提唱され,開発中に生じる変更へ迅速に対応できることを重視した開発手法である。",
202540,マネジメント,"変更管理委員会が設置されているプロジェクトで変更要求が発生した場合の記述として,最も適切なものはどれか。","変更管理委員会では,プロジェクトに関わるステークホルダ以外の第三者によって変更要求が審議される。","変更管理委員会は,コストの増加や期日の延期を理由に変更要求を却下してよい。","変更管理委員会は,スコープに変更が発生しない範囲で変更要求を受け付けなければならない。","変更要求は,全てプロジェクトマネージャが承認した後に変更管理委員会で審議される。",イ,"変更管理委員会（CCB）は,変更がコスト・納期・品質・スコープに与える影響を評価し,承認または却下を判断する組織である。そのため,コスト増加や期日延期などの影響を理由に変更要求を却下することは適切である。",
202541,マネジメント,"システム開発プロジェクトで使用される技法のうち,スケジュール作成に用いる技法として,適切なものだけを全て挙げたものはどれか。
a DFD(Data Flow Diagram)
b 回帰分析
c クリティカルパス法
d プレシデンスダイアグラム法","a,b","a,d","b,c","c,d",エ,"スケジュール作成に用いる技法は,作業の依存関係や所要期間から工程計画を立てる手法である。
a：DFDは業務・データの流れを表す図である。
b：回帰分析は統計的分析手法で,スケジュール作成には直接用いない。
c：クリティカルパス法…プロジェクト全体の最短期間や重要工程を求める。
d：プレシデンスダイアグラム法…作業の前後関係を図で表し,工程を計画する。",
202542,マネジメント,"床下にネットワーク配線などのために一定の高さの空間をとり,容易に取り外しが可能なパネルを床板として並べたものはどれか。",フリーアクセスフロア,フリーアドレス,フリースペース,フリースポット,ア,"床下に配線などのための空間を確保し,取り外し可能なパネルを床として敷設する構造はフリーアクセスフロアと呼ばれる。",
202543,マネジメント,"営業部門の営業員が出張する際の出張旅費の手続に関して,組織間でけん制を日常的に実施している状況の記述として,最も適切なものはどれか。","営業員が出張後に経理部門に提出した旅費精算の書類と証票類について,経理担当者が適切な内容であることを審査し,経理課長が承認する。","営業員が出張後に旅費の精算を行い,上長が承認を行う。経理部門では承認済みであるので支払を行う。","営業員は出張の事前申請を行って上長の承認を得た後に,切符や宿泊施設の手配を旅行会社に依頼する。","会計年度における営業部門の旅費精算の書類と証票類から,監査人がサンプリングして,営業員の処理内容の適切性を確認する。",ア,"組織間でのけん制とは,異なる部門が相互にチェックすることで不正や誤りを防ぐことである。
「ア」は,営業部門が提出した旅費精算を経理部門が審査し,さらに経理課長が承認するという形で,部門間のけん制が日常的に機能している。",
202544,マネジメント,"システム開発の早い段階で,目に見える形で利用者の要求が確認できるように確認用のソフトウェアを作成するソフトウェア開発モデルとして,最も適切なものはどれか。",アジャイル,ウォーターフォール,スパイラル,プロトタイピング,エ,"プロトタイピングモデルは,開発の早い段階で確認用の試作ソフトウェア（プロトタイプ）を作成し,利用者の要求を目に見える形で確認・調整することを目的とした開発モデルである。",
202546,マネジメント,"開発が完了したソフトウェアを本番環境にインストールする手順を明確にし,それを実施する工程として,適切なものはどれか。",ソフトウェア統合,ソフトウェア導入,妥当性確認,利用者教育,イ,"開発完了後のソフトウェアを本番環境へインストールし,その手順を定めて実施する工程はソフトウェア導入である。",
202547,マネジメント,"利用者が銀行のATMのパネルを操作して入金処理を行う。この操作の要件を定義するときに,ソフトウェア開発の品質特性である使用性を考慮すべきインタフェースとして,最も適切なものはどれか。",OSとパネルのインタフェース,ソフトウェア間のインタフェース,ハードウェアとOSのインタフェース,利用者とパネルのインタフェース,エ,"使用性（ユーザビリティ）は,利用者がどれだけ容易に操作できるかに関わる品質特性である。",
202548,マネジメント,"顧客から委託されたシステム開発プロジェクトのスコープの対象として,適切な
ものだけを全て挙げたものはどれか。
a プロジェクトで作成する成果物
b プロジェクトで使用する市販のスケジュール管理ツール
c プロジェクトの要求事項を顧客が記載した文書",a,"a,b","b,c",c,ア,"プロジェクトのスコープとは,プロジェクトで実施する作業内容や作成する成果物の範囲を指す。",
202549,マネジメント,"クラウドサービスを提供するA社では,操作に関する質問に対して,サービスデスクのオペレーターが電話で対応するだけでなく,ホームページ上にFAQを公開している。サービスデスクの受付時間は午前9時から午後6時までである。このたびサービスデスクのサービスレベルを向上させるために,顧客向けのチャットボットを導入することにした。チャットボット導入の効果として,最も適切なものはどれか。",オペレーターのチャットのスキルが向上する。,オペレーターの電話対応のスキルが向上する。,問合せの受付時間を拡大することが可能になる。,ホームページ上に掲載しているFAQの内容が充実する。,ウ,"チャットボットは自動応答が可能なため,オペレーターの受付時間外でも問合せ対応ができる。その結果,問合せの受付時間を実質的に拡大できることが導入効果として最も適切である。",
202550,マネジメント,"チャットボットの説明として,最も適切なものはどれか。","質問に対して,ソフトウェアがリアルタイムで自動応答する仕組み","センサーを搭載した機器や制御装置が直接インターネットにつながり,お互いに情報をやり取りする仕組み",人間に代わって荷物を運ぶなどの作業を行う機械的な仕組み,ルール化された定型的な操作を人間の代わりにソフトウェアが自動で行う仕組み,ア,"チャットボットは,利用者からの質問や問い合わせに対して,ソフトウェアがリアルタイムで自動応答する仕組みである。",
202551,マネジメント,"社内で開発及び運用を行っている経理システムの内部監査を実施するとき,システム監査人として,最も適切なものはどれか。",経理システムの運用担当者,経理システムの開発を担当した委託会社の従業員,経理システムの利用者である経理担当者,経理とITの知識を有する経営者直轄組織の従業員,エ,"内部監査のシステム監査人は,対象システムから独立した立場で,かつ業務（経理）とITの両方の知識を備えている必要がある。",
202552,マネジメント,"A社は会計システムの再構築のプロジェクトを立ち上げ,システム開発をB社に外部委託している。B社から納品される成果物の検収において,プロジェクトの品質管理に係る手続を遵守しているかどうかのシステム監査を行う監査人として,適切な者は誰か。",会計システムの再構築に関与しないA社の管理部門のリーダー,会計システムの再構築を担当するA社のプロジェクトマネージャ,会計システムの再構築を担当するB社のシステム開発リーダー,会計システムの再構築を担当するB社の品質管理責任者,ア,"システム監査では,監査対象からの独立性が最も重要である。
「ア」は,A社側であり,かつ当該プロジェクトに直接関与していないため,客観的・独立した立場で品質管理手続の遵守状況を監査できる。一方,「イ」は当事者,「ウ」・「エ」は受託側で利害関係があるため不適切。",
202553,マネジメント,"内部統制の基本的要素の一つである""ITへの対応”に関する記述として,最も適切なものはどれか。","ITを活用すると業務処理を迅速化でき,不注意によるミスを全て防止できる。","既存のITの利用者の拡大や,使い方の変更などで組織目標を達成できるのであれば,新たなITシステムの導入やITシステムの更新を強いるものではない。","全ての業務プロセスをITで自動化することによって,業務プロセスを大幅に修正することが容易になる。","組織の業務がITに大きく依存すると,内部統制の目的を達成することが難しくなる。",イ,"内部統制における「ITへの対応」とは,組織目標の達成に必要な範囲でITを適切に活用・統制する考え方であり,必ずしも新規システム導入や更新を前提とするものではない。",
202555,マネジメント,"システム開発プロジェクトの開始に当たり,人的資源に関する計画書を作成することにした。この計画において,要員を適切に配置し,より良いパフォーマンスを得るために考慮すべき事項として,適切なものだけを全て挙げたものはどれか。
a プロジェクトに必要なスキルが要員に不足している場合は,トレーニングを計
画する。
b プロジェクトに必要なスキルよりも,要員の確保を常に優先するように計画する。
c 要員をフレキシブルに配置するために,要員の役割と責任は,プロジェクトの計画段階では明確にせず,プロジェクトの開始後に定める。",a,"a,b,c","a,c",c,ア,"人的資源計画では,必要なスキルを満たす体制をどう確保するかが重要である。",
202556,テクノロジ,"Bluetoothに追加された仕様の一つであり,省電力性に優れているので,IoTシステムを長期間運用でき,送受信デバイス間の距離を知ることにも使われているものはどれか。",BLE,IrDA,NFC,PLC,ア,"BLE（Bluetooth Low Energy）は,Bluetoothの省電力版で,長期間稼働するIoTデバイスや,送受信間の距離測定（ビーコンなど）に利用される。",
202557,テクノロジ,"HTTPプロキシサーバの機能に関する記述として,適切なものはどれか。","IPアドレス割当て要求をPCから受け付けて,割り当てるグローバルIPアドレスを返す。","PCから,インターネット上のWebサーバへの接続要求を中継役として受けて,PCに代わって当該のWebサーバに接続し,送受信データを中継する。","WebサーバのURLに対応するIPアドレスを求める要求をPCから受け付けて,そのIPアドレスを返す。","Webサーバのコンテンツが検索結果の上位に表示されるように,そのWebサーバが管理するコンテンツを書き換える。",イ,"HTTPプロキシサーバは,クライアントの代わりにWebサーバへ接続し,送受信データを中継する役割を持つ。",
202558,テクノロジ,"DNSの説明として,適切なものはどれか。","IPネットワークに接続しようとするコンピュータに,IPアドレスなどを自動的に割り当てるプロトコルである。","ブラウザとWebサーバ間の通信を暗号化して,セキュリティを高めるために利用されるプロトコルである。","ホスト名やドメイン名と,IPアドレスを対応付ける仕組みである。","ホスト名やドメイン名と,MACアドレスを対応付ける仕組みである。",ウ,"DNS（Domain Name System）は,ホスト名やドメイン名とIPアドレスを対応付ける仕組みである。",
